No;Provinsi;Sekolah;Guru;Murid
1;Aceh;535;13872;131271
2;Sumatera Utara;1075;24132;384943
3;Sumatera Barat;337;11264;151928
4;Riau;455;12070;166690
5;Jambi;239;6151;78445
6;Sumatera Selatan;612;15219;212414
7;Bengkulu;146;4202;52613
8;Lampung;519;11548;164751
9;Kepulauan Bangka Belitung;71;1762;29996
10;Kepulauan Riau;163;3541;54434
11;DKI Jakarta;492;11773;189887
12;Jawa Barat;1711;42151;792927
13;Jawa Tengah;854;26184;438529
14;DI Yogyakarta;173;4428;60040
15;Jawa Timur;1518;34311;537715
16;Banten;603;12459;217386
17;Bali;163;5716;94025
18;Nusa Tenggara Barat;343;9387;110215
19;Nusa Tenggara Timur;598;16415;204238
20;Kalimantan Barat;459;8120;130240
21;Kalimantan Tengah;242;5124;61114
22;Kalimantan Selatan;205;5033;66465
23;Kalimantan Timur;233;5195;80220
24;Kalimantan Utara;67;1415;18215
25;Sulawesi Utara;230;4831;62736
26;Sulawesi Tengah;232;5763;79267
27;Sulawesi Selatan;599;15944;229375
28;Sulawesi Tenggara;313;7844;94202
29;Gorontalo;70;2085;31262
30;Sulawesi Barat;91;2391;29148
31;Maluku;284;6657;69542
32;Maluku Utara;217;3629;43105
33;Papua Barat;131;2378;29920
34;Papua;256;4983;71317
