No;Provinsi;Sekolah;Guru;Murid
1;Aceh;1261;24004;200088
2;Sumatera Utara;2672;45470;627585
3;Sumatera Barat;853;18269;201410
4;Riau;1254;20632;258072
5;Jambi;703;11584;118271
6;Sumatera Selatan;1409;26659;354086
7;Bengkulu;448;8028;85610
8;Lampung;1435;24155;329962
9;Kepulauan Bangka Belitung;225;3842;61789
10;Kepulauan Riau;410;6336;97597
11;DKI Jakarta;1078;19666;349766
12;Jawa Barat;5825;96179;1781486
13;Jawa Tengah;3411;70871;1192066
14;DI Yogyakarta;451;9087;133137
15;Jawa Timur;4941;80967;1222125
16;Banten;1581;23774;434388
17;Bali;403;11260;187545
18;Nusa Tenggara Barat;1026;21149;169585
19;Nusa Tenggara Timur;1804;30490;327112
20;Kalimantan Barat;1363;16718;228075
21;Kalimantan Tengah;858;10136;105422
22;Kalimantan Selatan;625;9359;111622
23;Kalimantan Timur;683;10907;160291
24;Kalimantan Utara;192;2814;32962
25;Sulawesi Utara;733;9366;101829
26;Sulawesi Tengah;868;11715;117017
27;Sulawesi Selatan;1704;30202;334404
28;Sulawesi Tenggara;779;13563;120007
29;Gorontalo;340;4256;43046
30;Sulawesi Barat;379;5620;52908
31;Maluku;685;10154;89268
32;Maluku Utara;510;6618;58898
33;Papua Barat;334;4919;50189
34;Papua;743;9906;148981
